n,kappa,z_transform
4.300000000000000000e+01,1.018046165933937264e+00,2.584654749188805312e+01
4.400000000000000000e+01,3.072806255564289213e+00,9.466758017004972103e+00
4.500000000000000000e+01,3.091054477435532633e+00,9.593974556483642502e+00
4.600000000000000000e+01,2.072601071221088276e+00,1.631917604591140858e+01
4.700000000000000000e+01,1.042121632360391681e+00,2.791283965151510671e+01
4.800000000000000000e+01,5.239100852770808281e+00,3.496108820738883516e+00
4.900000000000000000e+01,1.580101807052400220e+00,2.223726298492572084e+01
5.000000000000000000e+01,3.176608448806577556e+00,1.021358585928930474e+01
5.100000000000000000e+01,2.128458942566882062e+00,1.759467257183840161e+01
5.200000000000000000e+01,3.208456126746625614e+00,1.045432381680140921e+01
5.300000000000000000e+01,1.074641161305218917e+00,3.096852397135383939e+01
5.400000000000000000e+01,4.318802286144844516e+00,6.231287068344937730e+00
5.500000000000000000e+01,2.169334286587655036e+00,1.859078526200105230e+01
5.600000000000000000e+01,4.358176889540954058e+00,6.336098788213464950e+00
5.700000000000000000e+01,2.188669953890139741e+00,1.908144297706879300e+01
5.800000000000000000e+01,2.198084819593695727e+00,1.932501944629514057e+01
5.900000000000000000e+01,1.103669369757748653e+00,3.397764332349555616e+01
6.000000000000000000e+01,6.649311371959354844e+00,2.159094403712229049e+00
6.100000000000000000e+01,1.112692557515767122e+00,3.497129511485652387e+01
6.200000000000000000e+01,2.234187603822563428e+00,2.028822326821355659e+01
6.300000000000000000e+01,3.364273870101862851e+00,1.171649632809958241e+01
6.400000000000000000e+01,3.939905340241067755e+00,8.925661238236713757e+00
6.500000000000000000e+01,2.259767534042545378e+00,2.099960237193429435e+01
6.600000000000000000e+01,4.536064889406110190e+00,6.832033072679129404e+00
6.700000000000000000e+01,1.138086533136342560e+00,3.792647256487033047e+01
6.800000000000000000e+01,3.426289622394468548e+00,1.226025701484604724e+01
6.900000000000000000e+01,2.292096012214617229e+00,2.193445083940180851e+01
7.000000000000000000e+01,4.599770455297211846e+00,7.018924592848740929e+00
7.100000000000000000e+01,1.153781977012791504e+00,3.987656821210438096e+01
7.200000000000000000e+01,6.945405846305555464e+00,2.234378684404835003e+00
7.300000000000000000e+01,1.161301087366032991e+00,4.084600000696050159e+01
7.400000000000000000e+01,2.329967473830416580e+00,2.308265238249624929e+01
7.500000000000000000e+01,3.505850860296870763e+00,1.299497420877660048e+01
7.600000000000000000e+01,3.516606139379354179e+00,1.309761654595584091e+01
7.700000000000000000e+01,2.351480548365208811e+00,2.376146492463501758e+01
7.800000000000000000e+01,4.716931384315891762e+00,7.376085918194156044e+00
7.900000000000000000e+01,1.182680925402466832e+00,4.373319347102927424e+01
8.000000000000000000e+01,5.930428157539703982e+00,4.123954593976145944e+00
8.100000000000000000e+01,2.973620105082438680e+00,1.831351115908440264e+01
8.200000000000000000e+01,2.385538389890961675e+00,2.487715847933711899e+01
8.300000000000000000e+01,1.196050090467196680e+00,4.564141657663828511e+01
8.400000000000000000e+01,7.195750157292016169e+00,2.300074974925045534e+00
8.500000000000000000e+01,2.404989864474440964e+00,2.553771359933595164e+01
8.600000000000000000e+01,2.411321411890833488e+00,2.575648886980127017e+01
8.700000000000000000e+01,2.417579760587224680e+00,2.597457664668334232e+01
8.800000000000000000e+01,4.847533167464970205e+00,7.795683871596462033e+00
8.900000000000000000e+01,1.214941748887720108e+00,4.848068616785549523e+01
9.000000000000000000e+01,7.307796194939942147e+00,2.330100903493466991e+00
9.100000000000000000e+01,2.441913795820099153e+00,2.684024951930891945e+01
9.200000000000000000e+01,3.671745226866070411e+00,1.467163391031835573e+01
9.300000000000000000e+01,2.453682544816092381e+00,2.726920983286596112e+01
9.400000000000000000e+01,2.459472344743742322e+00,2.748275205490527284e+01
9.500000000000000000e+01,2.465200875797698199e+00,2.769568025894371388e+01
9.600000000000000000e+01,7.412608263393845931e+00,2.358543010065934364e+00
9.700000000000000000e+01,1.238239612002793866e+00,5.222655972601542373e+01
9.800000000000000000e+01,3.723047234139238881e+00,1.523269129794985410e+01
9.900000000000000000e+01,3.731291078544875628e+00,1.532482880599231834e+01
1.000000000000000000e+02,5.609178103261524662e+00,6.053164144136980340e+00
1.010000000000000000e+02,1.249177284635628382e+00,5.408364742900988631e+01
1.020000000000000000e+02,5.007376045179681157e+00,8.341848134602310338e+00
1.030000000000000000e+02,1.254484720693994193e+00,5.500843999327013734e+01
1.040000000000000000e+02,5.028399662374751777e+00,8.416474776435345362e+00
1.050000000000000000e+02,5.038760337284267976e+00,8.453496827575387229e+00
1.060000000000000000e+02,2.524511402633396351e+00,2.999958033693172155e+01
1.070000000000000000e+02,1.264797227656225598e+00,5.685079593042924273e+01
1.080000000000000000e+02,7.603890669286142767e+00,2.411347916203559372e+00
1.090000000000000000e+02,1.269809788805928541e+00,5.776846206943817208e+01
1.100000000000000000e+02,5.089126733221227994e+00,8.635805575855115990e+00
1.110000000000000000e+02,2.549462414823945089e+00,3.102517568916810120e+01
1.120000000000000000e+02,6.385793811983588419e+00,4.597910519019403175e+00
1.130000000000000000e+02,1.279564738829494619e+00,5.959701263835787444e+01
1.140000000000000000e+02,5.127798067826196515e+00,8.778446137521362047e+00
1.150000000000000000e+02,2.568626934122175687e+00,3.183666653688849735e+01
1.160000000000000000e+02,3.859970849424982031e+00,1.683743643278882018e+01
1.170000000000000000e+02,3.866940949727212029e+00,1.692350459229084336e+01
1.180000000000000000e+02,2.582567819538456266e+00,3.244027526914072723e+01
1.190000000000000000e+02,2.587136126251994739e+00,3.264055161705850594e+01
1.200000000000000000e+02,1.036666481603764289e+01,6.731139378433871334e-01
1.210000000000000000e+02,1.947119015495412775e+00,4.570606661829600625e+01
1.220000000000000000e+02,2.600614195054493205e+00,3.323866966937360701e+01
1.230000000000000000e+02,2.605033330884490184e+00,3.343715443438327384e+01
1.240000000000000000e+02,3.914125025768283361e+00,1.751782708032505198e+01
1.250000000000000000e+02,2.613764828772139559e+00,3.383281951386955200e+01
1.260000000000000000e+02,7.854234980272603472e+00,2.482247542284807373e+00
1.270000000000000000e+02,1.311178862794030175e+00,6.593026912261400696e+01
1.280000000000000000e+02,5.253207120321423673e+00,9.257432142341141201e+00
1.290000000000000000e+02,2.630816352884362441e+00,3.461905413121631625e+01
1.300000000000000000e+02,5.269993228131008678e+00,9.323497591815474550e+00
1.310000000000000000e+02,1.319572421139607599e+00,6.772200151899116349e+01
1.320000000000000000e+02,7.929784574178041723e+00,2.504050536887755030e+00
1.330000000000000000e+02,2.647347137575251974e+00,3.539871639429409100e+01
1.340000000000000000e+02,2.651402146295644080e+00,3.559263472845005083e+01
1.350000000000000000e+02,5.310854011947019337e+00,9.486291651643792733e+00
1.360000000000000000e+02,5.318844323238542060e+00,9.518456698091636525e+00
1.370000000000000000e+02,1.331694024231362405e+00,7.039582192259518933e+01
1.380000000000000000e+02,5.334650184475151491e+00,9.582404890777409534e+00
1.390000000000000000e+02,1.335616854727848635e+00,7.128354431534391722e+01
1.400000000000000000e+02,8.025342923014692431e+00,2.531902410549027760e+00
1.410000000000000000e+02,2.678967285737271276e+00,3.693930822143550330e+01
1.420000000000000000e+02,2.682793034048541969e+00,3.713019576428255419e+01
1.430000000000000000e+02,2.686591934782107671e+00,3.732071979366525483e+01
1.440000000000000000e+02,1.008886635796804043e+01,9.280962077658757581e-01
